## file created 06.Feb.2017 #
#       i  cr  sl  tb  dcc  spigot  fiber/slb  fibcha/slbcha  subdet  ieta  iphi  depth
 47401411   7   4   b   26       5          3              2      HO    -5    17      4
 47401811   7   4   b   26       5          2              0      HO    -6    17      4
 47401C11   7   4   b   26       5          1              2      HO    -7    17      4
 47402011   7   5   b   26       7          8              0      HO    -8    17      4
 47402411   7   5   b   26       7          7              2      HO    -9    17      4
 47402811   7   5   b   26       7          6              0      HO   -10    17      4
 47402C11   7   5   b   26       7          5              2      HO   -11    17      4
 47403011   7   5   b   26       7          4              0      HO   -12    17      4
 47403411   7   5   b   26       7          3              2      HO   -13    17      4
 47403811   7   5   b   26       7          2              0      HO   -14    17      4
 47403C11   7   5   b   26       7          1              2      HO   -15    17      4
 4E240791   7   4   b   26       5          8              0     HOX   -15    17   -999
 47400412   7   3   b   26       3          6              0      HO    -1    18      4
 47400812   7   3   b   26       3          5              2      HO    -2    18      4
 47400C12   7   3   b   26       3          5              0      HO    -3    18      4
 47401012   7   4   t   26       4          6              0      HO    -4    18      4
 47401412   7   4   b   26       5          3              0      HO    -5    18      4
 47401812   7   4   b   26       5          2              1      HO    -6    18      4
 47401C12   7   4   b   26       5          1              0      HO    -7    18      4
 47402012   7   5   b   26       7          8              1      HO    -8    18      4
 47402412   7   5   b   26       7          7              0      HO    -9    18      4
 47402812   7   5   b   26       7          6              1      HO   -10    18      4
 47402C12   7   5   b   26       7          5              0      HO   -11    18      4
 47403012   7   5   b   26       7          4              1      HO   -12    18      4
 47403412   7   5   b   26       7          3              0      HO   -13    18      4
 47403812   7   5   b   26       7          2              1      HO   -14    18      4
 47403C12   7   5   b   26       7          1              0      HO   -15    18      4
 4E240792   7   4   b   26       5          8              1     HOX   -15    18   -999
 47400413   7   3   b   26       3          4              0      HO    -1    19      4
 47400813   7   3   b   26       3          4              1      HO    -2    19      4
 47400C13   7   3   t   26       2          7              1      HO    -3    19      4
 47401013   7   4   t   26       4          5              2      HO    -4    19      4
 4E240213   7   4   t   26       4          5              1     HOX    -4    19   -999
 47401413   7   4   b   26       5          3              1      HO    -5    19      4
 47401813   7   4   b   26       5          2              2      HO    -6    19      4
 47401C13   7   4   b   26       5          1              1      HO    -7    19      4
 47402013   7   5   b   26       7          8              2      HO    -8    19      4
 47402413   7   5   b   26       7          7              1      HO    -9    19      4
 47402813   7   5   b   26       7          6              2      HO   -10    19      4
 47402C13   7   5   b   26       7          5              1      HO   -11    19      4
 47403013   7   5   b   26       7          4              2      HO   -12    19      4
 47403413   7   5   b   26       7          3              1      HO   -13    19      4
 47403813   7   5   b   26       7          2              2      HO   -14    19      4
 47403C13   7   5   b   26       7          1              1      HO   -15    19      4
 4E240793   7   4   b   26       5          8              2     HOX   -15    19   -999
 47400414   7   3   t   26       2          8              0      HO    -1    20      4
 47400814   7   3   t   26       2          7              2      HO    -2    20      4
 47400C14   7   3   t   26       2          7              0      HO    -3    20      4
 47401014   7   4   t   26       4          5              0      HO    -4    20      4
 47401414   7   4   t   26       4          3              2      HO    -5    20      4
 47401814   7   4   t   26       4          2              0      HO    -6    20      4
 47401C14   7   4   t   26       4          1              2      HO    -7    20      4
 47402014   7   5   t   26       6          8              0      HO    -8    20      4
 47402414   7   5   t   26       6          7              2      HO    -9    20      4
 47402814   7   5   t   26       6          6              0      HO   -10    20      4
 47402C14   7   5   t   26       6          5              2      HO   -11    20      4
 47403014   7   5   t   26       6          4              0      HO   -12    20      4
 47403414   7   5   t   26       6          3              2      HO   -13    20      4
 47403814   7   5   t   26       6          2              0      HO   -14    20      4
 47403C14   7   5   t   26       6          1              2      HO   -15    20      4
 4E240794   7   3   b   26       3          8              0     HOX   -15    20   -999
 47400415   7   3   t   26       2          6              0      HO    -1    21      4
 47400815   7   3   t   26       2          6              1      HO    -2    21      4
 47400C15   7   3   t   26       2          4              1      HO    -3    21      4
 47401015   7   4   t   26       4          4              2      HO    -4    21      4
 4E240215   7   4   t   26       4          4              1     HOX    -4    21   -999
 47401415   7   4   t   26       4          3              0      HO    -5    21      4
 47401815   7   4   t   26       4          2              1      HO    -6    21      4
 47401C15   7   4   t   26       4          1              0      HO    -7    21      4
 47402015   7   5   t   26       6          8              1      HO    -8    21      4
 47402415   7   5   t   26       6          7              0      HO    -9    21      4
 47402815   7   5   t   26       6          6              1      HO   -10    21      4
 47402C15   7   5   t   26       6          5              0      HO   -11    21      4
 47403015   7   5   t   26       6          4              1      HO   -12    21      4
 47403415   7   5   t   26       6          3              0      HO   -13    21      4
 47403815   7   5   t   26       6          2              1      HO   -14    21      4
 47403C15   7   5   t   26       6          1              0      HO   -15    21      4
 4E240795   7   3   b   26       3          8              1     HOX   -15    21   -999
 47400416   7   3   t   26       2          5              0      HO    -1    22      4
 47400816   7   3   t   26       2          4              2      HO    -2    22      4
 47400C16   7   3   t   26       2          4              0      HO    -3    22      4
 47401016   7   4   t   26       4          4              0      HO    -4    22      4
 47401416   7   4   t   26       4          3              1      HO    -5    22      4
 47401816   7   4   t   26       4          2              2      HO    -6    22      4
 47401C16   7   4   t   26       4          1              1      HO    -7    22      4
 47402016   7   5   t   26       6          8              2      HO    -8    22      4
 47402416   7   5   t   26       6          7              1      HO    -9    22      4
 47402816   7   5   t   26       6          6              2      HO   -10    22      4
 47402C16   7   5   t   26       6          5              1      HO   -11    22      4
 47403016   7   5   t   26       6          4              2      HO   -12    22      4
 47403416   7   5   t   26       6          3              1      HO   -13    22      4
 47403816   7   5   t   26       6          2              2      HO   -14    22      4
 47403C16   7   5   t   26       6          1              1      HO   -15    22      4
 4E240796   7   3   b   26       3          8              2     HOX   -15    22   -999
 47400417   7   7   b   26      11          7              0      HO    -1    23      4
 47400817   7   7   b   26      11          7              1      HO    -2    23      4
 47400C17   7   7   b   26      11          5              1      HO    -3    23      4
 47401017   7  13   t   27       0          6              2      HO    -4    23      4
 4E240217   7  13   t   27       0          6              1     HOX    -4    23   -999
 47401417   7  13   b   27       1          3              1      HO    -5    23      4
 47401817   7  13   b   27       1          2              2      HO    -6    23      4
 47401C17   7  13   b   27       1          1              1      HO    -7    23      4
 47402017   7  14   b   27       3          8              2      HO    -8    23      4
 47402417   7  14   b   27       3          7              1      HO    -9    23      4
 47402817   7  14   b   27       3          6              2      HO   -10    23      4
 47402C17   7  14   b   27       3          5              1      HO   -11    23      4
 47403017   7  14   b   27       3          4              2      HO   -12    23      4
 47403417   7  14   b   27       3          3              1      HO   -13    23      4
 47403817   7  14   b   27       3          2              2      HO   -14    23      4
 47403C17   7  14   b   27       3          1              1      HO   -15    23      4
 4E240797   7  13   b   27       1          8              2     HOX   -15    23   -999
 47400418   7   7   b   26      11          6              0      HO    -1    24      4
 47400818   7   7   b   26      11          5              2      HO    -2    24      4
 47400C18   7   7   b   26      11          5              0      HO    -3    24      4
 47401018   7  13   t   27       0          6              0      HO    -4    24      4
 47401418   7  13   b   27       1          3              0      HO    -5    24      4
 47401818   7  13   b   27       1          2              1      HO    -6    24      4
 47401C18   7  13   b   27       1          1              0      HO    -7    24      4
 47402018   7  14   b   27       3          8              1      HO    -8    24      4
 47402418   7  14   b   27       3          7              0      HO    -9    24      4
 47402818   7  14   b   27       3          6              1      HO   -10    24      4
 47402C18   7  14   b   27       3          5              0      HO   -11    24      4
 47403018   7  14   b   27       3          4              1      HO   -12    24      4
 47403418   7  14   b   27       3          3              0      HO   -13    24      4
 47403818   7  14   b   27       3          2              1      HO   -14    24      4
 47403C18   7  14   b   27       3          1              0      HO   -15    24      4
 4E240798   7  13   b   27       1          8              1     HOX   -15    24   -999
 47400419   7   7   b   26      11          4              0      HO    -1    25      4
 47400819   7   7   b   26      11          4              1      HO    -2    25      4
 47400C19   7   7   t   26      10          7              1      HO    -3    25      4
 47401019   7  13   t   27       0          5              2      HO    -4    25      4
 4E240219   7  13   t   27       0          5              1     HOX    -4    25   -999
 47401419   7  13   b   27       1          3              2      HO    -5    25      4
 47401819   7  13   b   27       1          2              0      HO    -6    25      4
 47401C19   7  13   b   27       1          1              2      HO    -7    25      4
 47402019   7  14   b   27       3          8              0      HO    -8    25      4
 47402419   7  14   b   27       3          7              2      HO    -9    25      4
 47402819   7  14   b   27       3          6              0      HO   -10    25      4
 47402C19   7  14   b   27       3          5              2      HO   -11    25      4
 47403019   7  14   b   27       3          4              0      HO   -12    25      4
 47403419   7  14   b   27       3          3              2      HO   -13    25      4
 47403819   7  14   b   27       3          2              0      HO   -14    25      4
 47403C19   7  14   b   27       3          1              2      HO   -15    25      4
 4E240799   7  13   b   27       1          8              0     HOX   -15    25   -999
 4740041A   7   7   t   26      10          8              0      HO    -1    26      4
 4740081A   7   7   t   26      10          7              2      HO    -2    26      4
 47400C1A   7   7   t   26      10          7              0      HO    -3    26      4
 4740101A   7  13   t   27       0          5              0      HO    -4    26      4
 4740141A   7  13   t   27       0          3              1      HO    -5    26      4
 4740181A   7  13   t   27       0          2              2      HO    -6    26      4
 47401C1A   7  13   t   27       0          1              1      HO    -7    26      4
 4740201A   7  14   t   27       2          8              2      HO    -8    26      4
 4740241A   7  14   t   27       2          7              1      HO    -9    26      4
 4740281A   7  14   t   27       2          6              2      HO   -10    26      4
 47402C1A   7  14   t   27       2          5              1      HO   -11    26      4
 4740301A   7  14   t   27       2          4              2      HO   -12    26      4
 4740341A   7  14   t   27       2          3              1      HO   -13    26      4
 4740381A   7  14   t   27       2          2              2      HO   -14    26      4
 47403C1A   7  14   t   27       2          1              1      HO   -15    26      4
 4E24079A   7   7   b   26      11          8              2     HOX   -15    26   -999
 4740041B   7   7   t   26      10          6              0      HO    -1    27      4
 4740081B   7   7   t   26      10          6              1      HO    -2    27      4
