## file created 06.Feb.2017 #
#       i  cr  sl  tb  dcc  spigot  fiber/slb  fibcha/slbcha  subdet  ieta  iphi  depth
 43103012  20   4   u    0       0          7              2      HB   -12    18      1
 43102811  20   4   u    0       0          8              0      HB   -10    17      1
 43101811  20   4   u    0       0          8              1      HB    -6    17      1
 43100811  20   4   u    0       0          8              2      HB    -2    17      1
 43102011  20   4   u    0       0          9              0      HB    -8    17      1
 43101011  20   4   u    0       0          9              1      HB    -4    17      1
 43103011  20   4   u    0       0          9              2      HB   -12    17      1
 43204010  20   5   u    0       0         14              0      HB   -16    16      2
 43203C10  20   5   u    0       0         14              1      HB   -15    16      2
 43103810  20   5   u    0       0         14              2      HB   -14    16      1
 43103C10  20   5   u    0       0         15              0      HB   -15    16      1
 43103410  20   5   u    0       0         15              1      HB   -13    16      1
 43104010  20   5   u    0       0         15              2      HB   -16    16      1
 4320400F  20   5   u    0       0         16              0      HB   -16    15      2
 43203C0F  20   5   u    0       0         16              1      HB   -15    15      2
 4310380F  20   5   u    0       0         16              2      HB   -14    15      1
 43103C0F  20   5   u    0       0         17              0      HB   -15    15      1
 4310340F  20   5   u    0       0         17              1      HB   -13    15      1
 4310400F  20   5   u    0       0         17              2      HB   -16    15      1
 45104410  20   5   u    0       0         18              0      HE   -17    16      1
 45304010  20   5   u    0       0         18              1      HE   -16    16      3
 4510640F  20   5   u    0       0         18              2      HE   -25    15      1
 45104810  20   5   u    0       0         19              0      HE   -18    16      1
 45204810  20   5   u    0       0         19              1      HE   -18    16      2
 4520640F  20   5   u    0       0         19              2      HE   -25    15      2
 4510440F  20   5   u    0       0         20              0      HE   -17    15      1
 4530400F  20   5   u    0       0         20              1      HE   -16    15      3
 4510680F  20   5   u    0       0         20              2      HE   -26    15      1
 4510480F  20   5   u    0       0         21              0      HE   -18    15      1
 4520480F  20   5   u    0       0         21              1      HE   -18    15      2
 4520680F  20   5   u    0       0         21              2      HE   -26    15      2
 43204012  20   5   u    0       0          2              0      HB   -16    18      2
