#file created 17.Jun.2016
#Writing HCAL Front End Map... IOV C
#      eta      phi    depth   subdet      rbx       rm
        -4       23        1       HB    HBM07        4
       -12       23        1       HB    HBM07        4
       -11       26        1       HB    HBM07        1
        -7       26        1       HB    HBM07        1
        -3       26        1       HB    HBM07        1
        -5       26        1       HB    HBM07        1
        -1       26        1       HB    HBM07        1
        -9       26        1       HB    HBM07        1
       -11       25        1       HB    HBM07        2
        -7       25        1       HB    HBM07        2
        -3       25        1       HB    HBM07        2
        -5       25        1       HB    HBM07        2
        -1       25        1       HB    HBM07        2
        -9       25        1       HB    HBM07        2
       -10       26        1       HB    HBM07        1
        -6       26        1       HB    HBM07        1
        -2       26        1       HB    HBM07        1
        -8       26        1       HB    HBM07        1
        -4       26        1       HB    HBM07        1
       -12       26        1       HB    HBM07        1
       -10       25        1       HB    HBM07        2
        -6       25        1       HB    HBM07        2
        -2       25        1       HB    HBM07        2
        -8       25        1       HB    HBM07        2
        -4       25        1       HB    HBM07        2
       -12       25        1       HB    HBM07        2
       -16       24        2       HB    HBM07        3
       -15       24        2       HB    HBM07        3
       -14       24        1       HB    HBM07        3
       -15       24        1       HB    HBM07        3
       -13       24        1       HB    HBM07        3
       -16       24        1       HB    HBM07        3
       -16       23        2       HB    HBM07        4
       -15       23        2       HB    HBM07        4
       -14       23        1       HB    HBM07        4
       -15       23        1       HB    HBM07        4
       -13       23        1       HB    HBM07        4
       -16       23        1       HB    HBM07        4
       -17       24        1       HE    HEM07        3
