#i crate slot tb dcc spigot htr_fi fib_ch det eta phi type
4E22DC70 38 4 u 0 0 19 0 HB 1 71 0
4E22DC71 38 4 u 0 0 19 1 HB 1 71 1
4E22DC72 38 4 u 0 0 19 2 HB 1 71 2
4E22C830 38 4 u 0 0 20 0 HB -1 3 0
4E22C831 38 4 u 0 0 20 1 HB -1 3 1
4E22C832 38 4 u 0 0 20 2 HB -1 3 2
4E22C870 38 4 u 0 0 21 0 HB -1 7 0
4E22C871 38 4 u 0 0 21 1 HB -1 7 1
4E22C872 38 4 u 0 0 21 2 HB -1 7 2
4E22D830 38 4 u 0 0 22 0 HB 1 3 0
4E22D831 38 4 u 0 0 22 1 HB 1 3 1
4E22D832 38 4 u 0 0 22 2 HB 1 3 2
4E22D870 38 4 u 0 0 23 0 HB 1 7 0
4E22D871 38 4 u 0 0 23 1 HB 1 7 1
4E22D872 38 4 u 0 0 23 2 HB 1 7 2
4E22C8B0 38 5 u 0 0 0 0 HB -1 11 0
4E22C8B1 38 5 u 0 0 0 1 HB -1 11 1
4E22C8B2 38 5 u 0 0 0 2 HB -1 11 2
4E22C8F0 38 5 u 0 0 1 0 HB -1 15 0
4E22C8F1 38 5 u 0 0 1 1 HB -1 15 1
4E22C8F2 38 5 u 0 0 1 2 HB -1 15 2
4E22D8B0 38 5 u 0 0 2 0 HB 1 11 0
4E22D8B1 38 5 u 0 0 2 1 HB 1 11 1
4E22D8B2 38 5 u 0 0 2 2 HB 1 11 2
4E22D8F0 38 5 u 0 0 3 0 HB 1 15 0
4E22D8F1 38 5 u 0 0 3 1 HB 1 15 1
4E22D8F2 38 5 u 0 0 3 2 HB 1 15 2
4E22C930 38 5 u 0 0 4 0 HB -1 19 0
4E22C931 38 5 u 0 0 4 1 HB -1 19 1
4E22C932 38 5 u 0 0 4 2 HB -1 19 2
4E22C970 38 5 u 0 0 5 0 HB -1 23 0
4E22C971 38 5 u 0 0 5 1 HB -1 23 1
4E22C972 38 5 u 0 0 5 2 HB -1 23 2
4E22D930 38 5 u 0 0 6 0 HB 1 19 0
4E22D931 38 5 u 0 0 6 1 HB 1 19 1
4E22D932 38 5 u 0 0 6 2 HB 1 19 2
4E22D970 38 5 u 0 0 7 0 HB 1 23 0
4E22D971 38 5 u 0 0 7 1 HB 1 23 1
4E22D972 38 5 u 0 0 7 2 HB 1 23 2
4E22C9B0 38 5 u 0 0 8 0 HB -1 27 0
4E22C9B1 38 5 u 0 0 8 1 HB -1 27 1
4E22C9B2 38 5 u 0 0 8 2 HB -1 27 2
4E22C9F0 38 5 u 0 0 9 0 HB -1 31 0
4E22C9F1 38 5 u 0 0 9 1 HB -1 31 1
4E22C9F2 38 5 u 0 0 9 2 HB -1 31 2
4E22D9B0 38 5 u 0 0 10 0 HB 1 27 0
4E22D9B1 38 5 u 0 0 10 1 HB 1 27 1
4E22D9B2 38 5 u 0 0 10 2 HB 1 27 2
4E22D9F0 38 5 u 0 0 11 0 HB 1 31 0
4E22D9F1 38 5 u 0 0 11 1 HB 1 31 1
4E22D9F2 38 5 u 0 0 11 2 HB 1 31 2
4E22DBF0 38 5 u 0 0 12 0 HE 1 63 0
4E22DBF1 38 5 u 0 0 12 1 HE 1 63 1
4E22DBF3 38 5 u 0 0 12 2 HE 1 63 3
4E22DBF4 38 5 u 0 0 13 0 HE 1 63 4
4E22DBF5 38 5 u 0 0 13 1 HE 1 63 5
4E22DBF6 38 5 u 0 0 13 2 HE 1 63 6
4E22D818 38 6 u 0 0 0 0 HF 1 1 8
4E22D810 38 6 u 0 0 0 1 HF 1 1 0
4E22D811 38 6 u 0 0 0 2 HF 1 1 1
4E22D938 38 6 u 0 0 1 0 HF 1 19 8
4E22D930 38 6 u 0 0 1 1 HF 1 19 0
4E22D931 38 6 u 0 0 1 2 HF 1 19 1
4E22DA58 38 6 u 0 0 2 0 HF 1 37 8
4E22DA50 38 6 u 0 0 2 1 HF 1 37 0
4E22DA51 38 6 u 0 0 2 2 HF 1 37 1
4E22DB78 38 6 u 0 0 3 0 HF 1 55 8
4E22DB70 38 6 u 0 0 3 1 HF 1 55 0
4E22DB71 38 6 u 0 0 3 2 HF 1 55 1
4E22C818 38 6 u 0 0 4 0 HF -1 1 8
4E22C810 38 6 u 0 0 4 1 HF -1 1 0
4E22C811 38 6 u 0 0 4 2 HF -1 1 1
4E22C938 38 6 u 0 0 5 0 HF -1 19 8
4E22C930 38 6 u 0 0 5 1 HF -1 19 0
4E22C931 38 6 u 0 0 5 2 HF -1 19 1
4E22CA58 38 6 u 0 0 6 0 HF -1 37 8
4E22CA50 38 6 u 0 0 6 1 HF -1 37 0
4E22CA51 38 6 u 0 0 6 2 HF -1 37 1
4E22CB78 38 6 u 0 0 7 0 HF -1 55 8
4E22CB70 38 6 u 0 0 7 1 HF -1 55 0
4E22CB71 38 6 u 0 0 7 2 HF -1 55 1
4E22D470 6 8 b 0 0 1 0 HO 0 71 0
4E22C0B0 7 8 b 0 0 1 0 HO -2 11 0
4E22C3B0 13 8 b 0 0 1 0 HO -2 59 0
4E22D471 6 8 b 0 0 1 1 HO 0 71 1
4E22C0B1 7 8 b 0 0 1 1 HO -2 11 1
4E22C3B1 13 8 b 0 0 1 1 HO -2 59 1
4E22C3B7 13 8 b 0 0 1 2 HO -2 59 7
4E22D050 6 8 b 0 0 2 0 HO 0 5 0
4E22C8B0 7 8 b 0 0 2 0 HO -1 11 0
4E22CBB0 13 8 b 0 0 2 0 HO -1 59 0
4E22D051 6 8 b 0 0 2 1 HO 0 5 1
4E22C8B1 7 8 b 0 0 2 1 HO -1 11 1
4E22CBB1 13 8 b 0 0 2 1 HO -1 59 1
4E22D0B0 6 8 b 0 0 3 0 HO 0 11 0
4E22D8B0 7 8 b 0 0 3 0 HO 1 11 0
4E22DBB0 13 8 b 0 0 3 0 HO 1 59 0
4E22D0B1 6 8 b 0 0 3 1 HO 0 11 1
4E22D8B1 7 8 b 0 0 3 1 HO 1 11 1
4E22DBB1 13 8 b 0 0 3 1 HO 1 59 1
4E22E0B0 7 8 b 0 0 4 0 HO 2 11 0
4E22E3B0 13 8 b 0 0 4 0 HO 2 59 0
4E22E0B1 7 8 b 0 0 4 1 HO 2 11 1
4E22E3B1 13 8 b 0 0 4 1 HO 2 59 1
4E22C470 6 8 b 0 0 5 0 HO -2 71 0
4E22C471 6 8 b 0 0 5 1 HO -2 71 1
4E22CC70 6 8 b 0 0 6 0 HO -1 71 0
4E22CC71 6 8 b 0 0 6 1 HO -1 71 1
4E22DC70 6 8 b 0 0 7 0 HO 1 71 0
4E22DC71 6 8 b 0 0 7 1 HO 1 71 1
4E22E470 6 8 b 0 0 8 0 HO 2 71 0
4E22E471 6 8 b 0 0 8 1 HO 2 71 1
4E22D230 6 8 t 0 0 1 0 HO 0 35 0
4E22D110 7 8 t 0 0 1 0 HO 0 17 0
4E22D350 13 8 t 0 0 1 0 HO 0 53 0
4E22D231 6 8 t 0 0 1 1 HO 0 35 1
4E22D111 7 8 t 0 0 1 1 HO 0 17 1
4E22D351 13 8 t 0 0 1 1 HO 0 53 1
4E22D357 13 8 t 0 0 1 2 HO 0 53 7
4E22D290 6 8 t 0 0 2 0 HO 0 41 0
4E22D170 7 8 t 0 0 2 0 HO 0 23 0
4E22D3B0 13 8 t 0 0 2 0 HO 0 59 0
4E22D291 6 8 t 0 0 2 1 HO 0 41 1
4E22D171 7 8 t 0 0 2 1 HO 0 23 1
4E22D3B1 13 8 t 0 0 2 1 HO 0 59 1
4E22D2F0 6 8 t 0 0 3 0 HO 0 47 0
4E22D1D0 7 8 t 0 0 3 0 HO 0 29 0
4E22D410 13 8 t 0 0 3 0 HO 0 65 0
4E22D2F1 6 8 t 0 0 3 1 HO 0 47 1
4E22D1D1 7 8 t 0 0 3 1 HO 0 29 1
4E22D411 13 8 t 0 0 3 1 HO 0 65 1
4E22C230 6 8 t 0 0 5 0 HO -2 35 0
4E22C170 7 8 t 0 0 5 0 HO -2 23 0
4E22C2F0 13 8 t 0 0 5 0 HO -2 47 0
4E22C231 6 8 t 0 0 5 1 HO -2 35 1
4E22C171 7 8 t 0 0 5 1 HO -2 23 1
4E22C2F1 13 8 t 0 0 5 1 HO -2 47 1
4E22CA30 6 8 t 0 0 6 0 HO -1 35 0
4E22C970 7 8 t 0 0 6 0 HO -1 23 0
4E22CAF0 13 8 t 0 0 6 0 HO -1 47 0
4E22CA31 6 8 t 0 0 6 1 HO -1 35 1
4E22C971 7 8 t 0 0 6 1 HO -1 23 1
4E22CAF1 13 8 t 0 0 6 1 HO -1 47 1
4E22CAF7 13 8 t 0 0 6 2 HO -1 47 7
4E22DA30 6 8 t 0 0 7 0 HO 1 35 0
4E22D970 7 8 t 0 0 7 0 HO 1 23 0
4E22DAF0 13 8 t 0 0 7 0 HO 1 47 0
4E22DA31 6 8 t 0 0 7 1 HO 1 35 1
4E22D971 7 8 t 0 0 7 1 HO 1 23 1
4E22DAF1 13 8 t 0 0 7 1 HO 1 47 1
4E22DAF7 13 8 t 0 0 7 2 HO 1 47 7
4E22E230 6 8 t 0 0 8 0 HO 2 35 0
4E22E170 7 8 t 0 0 8 0 HO 2 23 0
4E22E2F0 13 8 t 0 0 8 0 HO 2 47 0
4E22E231 6 8 t 0 0 8 1 HO 2 35 1
4E22E171 7 8 t 0 0 8 1 HO 2 23 1
4E22E2F1 13 8 t 0 0 8 1 HO 2 47 1
4E22E2F7 13 8 t 0 0 8 2 HO 2 47 7
4E22D056 38 9 u 0 0 2 0 HO 0 5 6
4E22D0B6 38 9 u 0 0 3 0 HO 0 11 6
4E22D116 38 9 u 0 0 4 0 HO 0 17 6
4E22D176 38 9 u 0 0 5 0 HO 0 23 6
